INFO 2025-01-15 13:44:52,849 autoreload Watching for file changes with StatReloader
DEBUG 2025-01-15 13:44:52,927 autoreload File /usr/lib/python3.12/asyncio/staggered.py first seen with mtime 1730917939.0
DEBUG 2025-01-15 13:44:52,927 autoreload File /usr/lib/python3.12/asyncio/timeouts.py first seen with mtime 1730917939.0
DEBUG 2025-01-15 13:44:52,927 autoreload File /home/alfred/projets/BAcrypto/venv/lib/python3.12/site-packages/django/contrib/contenttypes/admin.py first seen with mtime 1736859858.705902
DEBUG 2025-01-15 13:44:52,928 autoreload File /home/alfred/projets/BAcrypto/venv/lib/python3.12/site-packages/django/utils/dateformat.py first seen with mtime 1736859859.2689035
DEBUG 2025-01-15 13:44:52,928 autoreload File /home/alfred/projets/BAcrypto/venv/lib/python3.12/site-packages/django/utils/html.py first seen with mtime 1736859859.2739034
DEBUG 2025-01-15 13:44:52,928 autoreload File /usr/lib/python3.12/asyncio/threads.py first seen with mtime 1730917939.0
DEBUG 2025-01-15 13:44:52,928 autoreload File /usr/lib/python3.12/json/decoder.py first seen with mtime 1730917939.0
DEBUG 2025-01-15 13:44:52,928 autoreload File /home/alfred/projets/BAcrypto/venv/lib/python3.12/site-packages/django/core/cache/backends/__init__.py first seen with mtime 1736859859.1449032
DEBUG 2025-01-15 13:44:52,928 autoreload File /home/alfred/projets/BAcrypto/venv/lib/python3.12/site-packages/django/core/management/commands/__init__.py first seen with mtime 1736859859.159903
DEBUG 2025-01-15 13:44:52,928 autoreload File /home/alfred/projets/BAcrypto/venv/lib/python3.12/site-packages/django/forms/utils.py first seen with mtime 1736859859.2179034
DEBUG 2025-01-15 13:44:52,928 autoreload File /usr/lib/python3.12/graphlib.py first seen with mtime 1730917939.0
DEBUG 2025-01-15 13:44:52,928 autoreload File /usr/lib/python3.12/asyncio/transports.py first seen with mtime 1730917939.0
